USER,SOURCE
user_1,table_3
user_1,table_5
user_1,table_6
user_2,table_22
user_2,table_147
user_2,table_148
user_2,table_149
user_2,table_150
user_2,table_151
user_2,table_152
user_2,table_153
user_2,table_154
user_2,table_155
user_2,table_156
user_2,table_3
user_2,table_157
user_2,table_158
user_2,table_159
user_2,table_160
user_2,table_161
user_2,table_162
user_2,table_163
user_2,table_164
user_2,table_165
user_2,table_166
user_2,table_167
user_2,table_168
user_2,table_169
user_2,table_170
user_2,table_171
user_2,table_172
user_2,table_173
user_2,table_174
user_2,table_175
user_2,table_176
user_2,table_177
user_2,table_178
user_2,table_179
user_2,table_180
user_2,table_181
user_2,table_182
user_2,table_5
user_2,table_183
user_2,table_184
user_2,table_185
user_2,table_186
user_2,table_187
user_2,table_188
user_2,table_189
user_2,table_190
user_2,table_191
user_2,table_192
user_2,table_193
user_2,table_194
user_2,table_195
user_2,table_196
user_4,table_149
user_4,table_159
user_4,table_226
user_4,table_227
user_5,table_152
user_5,table_3
user_5,table_378
user_5,table_379
user_5,table_159
user_5,table_168
user_5,table_169
user_5,table_175
user_5,table_177
user_5,table_178
user_5,table_179
user_5,table_180
user_5,table_182
user_5,table_196
user_5,table_380
user_6,table_414
user_6,table_415
user_6,table_472
user_6,table_473
user_6,table_474
user_6,table_475
user_6,table_476
user_6,table_477
user_6,table_478
user_6,table_479
user_6,table_480
user_6,table_481
user_6,table_482
user_6,table_483
user_6,table_484
user_6,table_485
user_6,table_486
user_6,table_487
user_6,table_488
user_6,table_489
user_6,table_490
user_6,table_491
user_6,table_492
user_6,table_493
user_6,table_494
user_6,table_495
user_6,table_496
user_6,table_497
user_6,table_498
user_6,table_499
user_6,table_500
user_6,table_501
user_6,table_502
user_6,table_503
user_6,table_504
user_6,table_149
user_6,table_154
user_6,table_155
user_6,table_3
user_6,table_506
user_6,table_507
user_6,table_508
user_6,table_159
user_6,table_163
user_6,table_164
user_6,table_509
user_6,table_167
user_6,table_168
user_6,table_510
user_6,table_511
user_6,table_170
