USER,SOURCE
user_0,table_0
user_0,table_1
user_0,table_2
user_1,table_3
user_1,table_4
user_1,table_5
user_1,table_6
user_1,table_7
user_1,table_8
user_1,table_9
user_1,table_10
user_1,table_11
user_1,table_12
user_1,table_13
user_1,table_0
user_1,table_14
user_1,table_15
user_1,table_16
user_1,table_17
user_1,table_18
user_1,table_19
user_1,table_20
user_1,table_21
user_1,table_22
user_1,table_23
user_1,table_24
user_1,table_25
user_1,table_26
user_1,table_27
user_1,table_28
user_1,table_29
user_1,table_30
user_1,table_31
user_1,table_32
user_1,table_33
user_1,table_34
user_1,table_35
user_1,table_36
user_1,table_37
user_1,table_38
user_1,table_39
user_1,table_1
user_1,table_40
user_1,table_41
user_1,table_42
user_1,table_43
user_1,table_44
user_1,table_45
user_1,table_46
user_1,table_47
user_1,table_48
user_1,table_49
user_1,table_50
user_1,table_51
user_1,table_52
user_1,table_53
user_2,table_6
user_2,table_16
user_2,table_54
user_2,table_55
user_3,table_56
user_3,table_5
user_3,table_6
user_3,table_9
user_3,table_10
user_3,table_13
user_3,table_57
user_3,table_58
user_3,table_14
user_3,table_59
user_3,table_60
user_3,table_15
user_3,table_16
user_3,table_18
user_3,table_24
user_3,table_25
user_3,table_27
user_3,table_61
user_3,table_35
user_3,table_36
user_3,table_39
user_3,table_62
user_3,table_63
user_3,table_64
user_3,table_65
user_3,table_66
user_3,table_67
user_3,table_68
user_3,table_41
user_3,table_42
user_3,table_45
user_3,table_47
user_3,table_69
user_3,table_70
user_3,table_71
user_3,table_72
user_3,table_73
user_4,table_4
user_4,table_6
user_4,table_74
user_4,table_16
user_4,table_18
user_4,table_20
user_4,table_75
user_4,table_24
user_4,table_25
user_4,table_27
user_4,table_61
user_4,table_28
user_4,table_76
user_4,table_29
user_4,table_77
user_4,table_32
user_4,table_33
user_4,table_78
user_4,table_79
user_4,table_55
user_4,table_80
user_4,table_81
user_4,table_82
user_4,table_50
user_4,table_53
user_5,table_6
user_5,table_11
user_5,table_0
user_5,table_83
user_5,table_84
user_5,table_85
user_5,table_16
user_5,table_18
user_5,table_21
user_5,table_25
user_5,table_86
user_5,table_87
user_5,table_26
user_5,table_27
user_5,table_61
user_5,table_28
user_5,table_88
user_5,table_32
user_5,table_89
user_5,table_81
user_5,table_90
user_5,table_38
user_5,table_91
user_5,table_92
user_5,table_93
user_5,table_94
user_5,table_95
user_5,table_42
user_5,table_46
user_5,table_47
user_5,table_50
user_5,table_52
user_5,table_53
user_5,table_72
user_5,table_96
user_5,table_97
user_5,table_98
user_5,table_99
user_5,table_100
user_5,table_101
user_5,table_102
user_5,table_103
user_6,table_5
user_6,table_6
user_6,table_9
user_6,table_58
user_6,table_104
user_6,table_16
user_6,table_18
user_6,table_24
user_6,table_33
user_6,table_36
user_6,table_37
user_6,table_82
user_6,table_41
user_6,table_70
user_6,table_72
user_7,table_105
user_7,table_5
user_7,table_6
user_7,table_14
user_7,table_16
user_7,table_25
user_7,table_65
user_7,table_53
user_8,table_6
user_8,table_16
user_9,table_105
user_9,table_6
user_9,table_12
user_9,table_16
user_9,table_89
user_9,table_81
user_9,table_66
user_9,table_106
user_10,table_6
user_10,table_0
user_10,table_16
user_10,table_86
user_10,table_87
user_10,table_61
user_10,table_2
user_10,table_53
user_11,table_50
user_12,table_105
user_12,table_5
user_12,table_6
user_12,table_107
user_12,table_0
user_13,table_105
user_13,table_5
user_14,table_4
user_14,table_6
user_14,table_9
user_14,table_16
user_14,table_24
user_14,table_108
user_14,table_46
user_14,table_47
user_15,table_5
user_15,table_42
user_15,table_72
