USER,SOURCE,QUERY_RUNS,DISTINCT_QUERY_RUNS,TOTAL_NUM_QUERY_RUNS
user_0,table_0,[769],1,769
user_1,table_1,"[1, 1, 1]",3,3
user_1,table_2,"[2, 1, 1]",3,4
user_1,table_3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,12
user_1,table_4,[1],1,1
user_1,table_5,[3],1,3
user_1,table_6,"[1, 1]",2,2
user_1,table_7,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",12,13
user_1,table_8,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",15,16
user_1,table_9,"[1, 1, 1, 1, 1]",5,5
user_1,table_10,"[1, 1]",2,2
user_1,table_11,"[1, 1]",2,2
user_2,table_12,[1],1,1
user_2,table_13,"[1, 1]",2,2
user_2,table_14,"[1, 1, 2, 1, 1]",5,6
user_2,table_15,[1],1,1
user_2,table_16,"[1, 1, 1]",3,3
user_2,table_17,[2],1,2
user_2,table_18,"[1, 1]",2,2
user_2,table_19,"[1, 1]",2,2
user_2,table_20,[1],1,1
user_2,table_21,[1],1,1
user_2,table_22,"[1, 2, 1, 1, 2]",5,7
user_2,table_23,[1],1,1
user_2,table_24,"[1, 2, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1]",21,28
user_2,table_25,"[1, 1, 1, 1]",4,4
user_2,table_26,"[1, 1]",2,2
user_2,table_27,[2],1,2
user_2,table_28,"[1, 1, 1, 1, 1, 1, 1]",7,7
user_2,table_29,"[1, 1]",2,2
user_2,table_30,"[1, 1]",2,2
user_2,table_31,"[1, 2, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2]",17,23
user_2,table_32,"[1, 1]",2,2
user_2,table_33,[1],1,1
user_2,table_34,"[1, 13, 4]",3,18
user_2,table_35,"[10, 1, 13, 4, 1, 4, 1, 1, 1]",9,36
user_2,table_36,[1],1,1
user_2,table_37,"[1, 1, 1, 1]",4,4
user_2,table_38,"[1, 1, 1]",3,3
user_2,table_39,[1],1,1
user_2,table_40,"[1, 1]",2,2
user_2,table_41,"[1, 1]",2,2
user_2,table_42,"[1, 1]",2,2
user_2,table_43,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",14,15
user_2,table_44,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,11
user_2,table_45,"[1, 1]",2,2
user_2,table_46,"[1, 2, 1, 1, 2, 4, 1, 1, 1, 3, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 1, 2, 1, 1]",31,47
